id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Camélien;Rey;Boniface.Meunier75@yahoo.fr;repurpose withdrawal;2024-08-31T17:26:56;71697;45464
2;Azélie;Lacroix;Agnan.Chevalier@gmail.com;withdrawal;2024-08-31T21:23:48;75289;21024
3;Valéry;Aubry;Adalsinde.Perrin@gmail.com;Sleek;2024-08-31T06:27:12;71090;65309
4;Auguste;Roussel;Alaine.Sanchez@hotmail.fr;reinvent orchestrate;2024-08-31T01:56:49;52820;82484
5;Anastase;Fontaine;Laurence14@hotmail.fr;mobile Granite;2024-08-31T20:34:43;13439;33970
6;Adrienne;Roux;Marine.Olivier73@gmail.com;Kazakhstan time-frame;2024-08-31T05:20:55;64329;13556
7;Ernestine;Andre;Anal72@yahoo.fr;Devolved rich;2024-08-31T07:51:03;54588;45928
8;Christiane;Schneider;Astart8@yahoo.fr;payment Bretagne;2024-08-31T21:54:27;3244;21747
9;Désiré;Vasseur;Salom_Mercier98@hotmail.fr;white;2024-08-31T13:15:06;90189;81327
10;Acanthe;Rey;Aubertine79@gmail.com;Table Alsace Checking;2024-08-31T01:55:16;32637;8639
